9:44:14 PM Saturday, June 6, 2020: Open app...
9:44:16 PM Saturday, June 6, 2020: ------------------------------------------------
9:44:17 PM Saturday, June 6, 2020: account2TptRun_Click
9:44:34 PM Saturday, June 6, 2020: login with email...
9:54:00 PM Saturday, June 6, 2020: Open app...
9:54:10 PM Saturday, June 6, 2020: ------------------------------------------------
9:54:10 PM Saturday, June 6, 2020: account2TptRun_Click
9:54:28 PM Saturday, June 6, 2020: login with email...
9:54:38 PM Saturday, June 6, 2020: login...
9:54:38 PM Saturday, June 6, 2020: Login fall!
10:01:36 PM Saturday, June 6, 2020: Open app...
10:01:51 PM Saturday, June 6, 2020: ------------------------------------------------
10:01:51 PM Saturday, June 6, 2020: account2TptRun_Click
10:02:08 PM Saturday, June 6, 2020: login with email...
10:02:25 PM Saturday, June 6, 2020: login...
10:02:25 PM Saturday, June 6, 2020: Login fall!
10:51:04 PM Saturday, June 6, 2020: Open app...
10:51:08 PM Saturday, June 6, 2020: ------------------------------------------------
10:51:08 PM Saturday, June 6, 2020: account1_start_btn_Click
10:51:24 PM Saturday, June 6, 2020: login with email...
10:51:31 PM Saturday, June 6, 2020: login...
10:51:41 PM Saturday, June 6, 2020: SubmissionID = 0615299
10:53:54 PM Saturday, June 6, 2020: Submit...
10:54:00 PM Saturday, June 6, 2020: Done!
10:54:08 PM Saturday, June 6, 2020: ------------------------------------------------
10:54:08 PM Saturday, June 6, 2020: account1_start_btn_Click
10:54:29 PM Saturday, June 6, 2020: SubmissionID = 0615299
10:55:04 PM Saturday, June 6, 2020: Submit...
10:57:51 PM Saturday, June 6, 2020: Open app...
10:57:57 PM Saturday, June 6, 2020: ------------------------------------------------
10:57:57 PM Saturday, June 6, 2020: account1_start_btn_Click
10:57:58 PM Saturday, June 6, 2020: Error, Could not open profiles!
10:57:58 PM Saturday, June 6, 2020: ------------------------------------------------
10:58:24 PM Saturday, June 6, 2020: Open app...
10:58:27 PM Saturday, June 6, 2020: ------------------------------------------------
10:58:27 PM Saturday, June 6, 2020: account1_start_btn_Click
10:58:44 PM Saturday, June 6, 2020: login with email...
10:58:52 PM Saturday, June 6, 2020: login...
10:59:01 PM Saturday, June 6, 2020: SubmissionID = 0614938
10:59:37 PM Saturday, June 6, 2020: Submit...
11:00:06 PM Saturday, June 6, 2020: Done!
11:03:00 PM Saturday, June 6, 2020: Open app...
11:03:03 PM Saturday, June 6, 2020: ------------------------------------------------
11:03:03 PM Saturday, June 6, 2020: account1_start_btn_Click
11:04:42 PM Saturday, June 6, 2020: Open app...
11:04:44 PM Saturday, June 6, 2020: ------------------------------------------------
11:04:44 PM Saturday, June 6, 2020: account1_start_btn_Click
11:05:02 PM Saturday, June 6, 2020: login with email...
11:05:10 PM Saturday, June 6, 2020: login...
11:05:25 PM Saturday, June 6, 2020: SubmissionID = 0614938
11:05:42 PM Saturday, June 6, 2020: Submit...
11:08:46 PM Saturday, June 6, 2020: Done!
11:11:54 PM Saturday, June 6, 2020: Open app...
11:11:56 PM Saturday, June 6, 2020: ------------------------------------------------
11:11:56 PM Saturday, June 6, 2020: account1_start_btn_Click
11:12:23 PM Saturday, June 6, 2020: SubmissionID = 0614938
11:12:56 PM Saturday, June 6, 2020: Submit...
11:20:17 PM Saturday, June 6, 2020: Done!
11:21:14 PM Saturday, June 6, 2020: Open app...
11:21:32 PM Saturday, June 6, 2020: ------------------------------------------------
11:21:32 PM Saturday, June 6, 2020: account1_start_btn_Click
11:22:06 PM Saturday, June 6, 2020: SubmissionID = 0615299
11:22:24 PM Saturday, June 6, 2020: Submit...
11:22:45 PM Saturday, June 6, 2020: Done!
11:59:15 PM Saturday, June 6, 2020: Open app...
11:59:24 PM Saturday, June 6, 2020: btnAuto1_Click...
